#  Angle     X        Y        Z
  34.822  138.000  274.000   62.000
  31.310  210.000   56.000  164.000
  31.951   70.000  191.000  157.000
  32.493  277.000  115.000  239.000
  33.739  218.000   61.000  202.000
  31.700   22.000   88.000   13.000
  31.860  288.000  166.000  194.000
  32.387  176.000  230.000  152.000
  33.094  194.000  153.000   74.000
  30.339   64.000  120.000  131.000
  30.374  139.000  148.000  274.000
  32.451  272.000  205.000  129.000
  33.782  105.000  114.000  195.000
  32.125   55.000  217.000  263.000
  32.509  236.000  155.000  187.000
  33.416   74.000  246.000   77.000
  32.705  210.000   81.000  128.000
  30.181  231.000   72.000  189.000
  33.192   68.000   94.000  235.000
  31.500  178.000   78.000   74.000
  31.189  112.000   83.000  122.000
  32.632  288.000  194.000   57.000
  30.946  284.000  166.000  262.000
  32.772   60.000  266.000  166.000
  36.633  193.000   27.000   24.000
  33.813  182.000  285.000   64.000
  31.131  166.000   58.000  251.000
  33.998  273.000   21.000  161.000
  32.223  279.000  246.000   42.000
  30.255  234.000  202.000  275.000
  33.726  118.000  168.000   91.000
  31.919  264.000   88.000  162.000
  33.430  213.000   24.000   92.000
  30.695   10.000   26.000   28.000
  30.828  276.000  250.000  199.000
  32.299  165.000   16.000  251.000
  29.058   66.000  150.000  144.000
  31.044  166.000  222.000   81.000
  31.343   93.000   14.000   45.000
  32.821    9.000  154.000  122.000
  33.230   43.000   16.000  113.000
  34.326   45.000  181.000  139.000
  30.946  115.000  251.000   24.000
  31.415  162.000   81.000  238.000
  34.169  201.000  176.000  272.000
  28.551  206.000  170.000   37.000
  31.261  281.000  255.000   61.000
  32.706  290.000   55.000  201.000
  28.358  179.000  206.000  214.000
  32.231  291.000   78.000  121.000
  31.728   40.000  264.000  281.000
  33.308  277.000  195.000   79.000
  36.039  142.000   84.000  268.000
  32.383  243.000  185.000   12.000
  33.443  267.000  229.000  178.000
  32.568  172.000  266.000  202.000
  31.938  172.000   73.000  163.000
  32.433  187.000  236.000   56.000
  32.556  226.000  259.000  290.000
  32.345   55.000   50.000  145.000
  36.356  208.000  181.000  213.000
  31.839   54.000   57.000  167.000
  36.625  233.000   58.000   80.000
  31.656  203.000  100.000   38.000
  36.707  210.000   47.000  116.000
  27.062  113.000  105.000   75.000
  32.503  229.000  100.000  263.000
  31.795  187.000  285.000   72.000
  28.605  230.000  167.000  229.000
  36.493  220.000  253.000  137.000
  33.130  255.000   23.000  195.000
  32.728  227.000  233.000   57.000
  32.294  215.000   14.000  273.000
  32.860  196.000  197.000   14.000
  32.800  158.000   89.000  209.000
  31.747  111.000  183.000  165.000
  33.464  218.000  251.000   54.000
  32.955  155.000   10.000  162.000
  31.721  210.000   82.000  111.000
  32.395  114.000  145.000   22.000
  33.224  266.000  169.000   87.000
  32.163   54.000   58.000  165.000
  32.022  274.000   16.000   21.000
  31.104   46.000   56.000  195.000
  34.505  267.000  148.000  109.000
  32.073   81.000  206.000  236.000
  31.188  109.000   10.000   61.000
  30.864  252.000   22.000   46.000
  32.629  265.000  227.000   54.000
  32.781  121.000  241.000   72.000
  32.707  252.000   17.000   41.000
  31.817   46.000   18.000  171.000
  31.483  233.000  272.000   12.000
  32.550  263.000   46.000  163.000
  33.366  113.000  177.000  206.000
  32.189  235.000   90.000  143.000
  33.824  282.000  174.000  267.000
  35.384   29.000   67.000   81.000
  32.917  223.000  109.000   30.000
  35.302  228.000  169.000  189.000
  40.870  110.000   81.000   58.000
  30.753  266.000  122.000  216.000
  31.600  216.000  123.000  204.000
  34.206  125.000  283.000   45.000
  33.165   17.000  290.000  291.000
  31.854  145.000   86.000  207.000
  35.585   86.000  260.000    9.000
  32.724  212.000  263.000  156.000
  31.035  115.000  111.000   28.000
  32.900   37.000   27.000  127.000
  37.606   37.000  264.000  282.000
  33.046   37.000   13.000  132.000
  33.680  195.000  274.000  115.000
  31.023  267.000   71.000  241.000
  32.807  239.000  213.000  225.000
  41.468   21.000  203.000   84.000
  33.029  187.000  119.000  277.000
  31.095  212.000  246.000   53.000
  32.415  163.000   22.000  247.000
  27.158   20.000  279.000  233.000
  36.749   37.000  237.000  241.000
  32.686  236.000   43.000  159.000
  34.324  124.000  229.000  150.000
  30.712  177.000  180.000  221.000
  30.877   77.000   91.000  268.000
  32.284  207.000   49.000  115.000
  33.341  124.000   52.000  226.000
  32.204  233.000   97.000  269.000
  32.866  100.000   13.000    9.000
  41.886  228.000  205.000  208.000
  34.246   53.000   27.000  160.000
  34.538  214.000  177.000  140.000
  32.390   64.000  204.000   75.000
  32.788  219.000  154.000  237.000
  36.365   78.000   87.000   30.000
  32.615  202.000   17.000   41.000
  42.884  270.000  196.000   57.000
  30.899   73.000   90.000   45.000
  31.405  213.000   61.000   34.000
  31.105  116.000  211.000  253.000
  34.156   83.000   66.000  237.000
  33.153   99.000  279.000  170.000
  33.320  200.000  179.000  271.000
  32.167  280.000  165.000  266.000
  37.007   36.000   92.000  194.000
  33.168   88.000   48.000  247.000
  31.665   76.000  213.000  231.000
  31.721  164.000   45.000  249.000
  33.631  248.000  221.000  217.000
  30.837   94.000  126.000  148.000
  37.067  211.000   60.000  163.000
  34.295  257.000   79.000  191.000
  31.771   95.000  273.000   72.000
  31.914  137.000   72.000  220.000
  31.467  219.000  251.000  257.000
  32.612  143.000  174.000  235.000
  33.213  283.000  169.000  264.000
  33.770  119.000   74.000   12.000
  31.701  124.000  101.000   46.000
  32.041  123.000   77.000  253.000
  31.897  176.000  287.000   63.000
  27.195  105.000  208.000  161.000
  33.401  264.000  175.000  127.000
  37.326  187.000   28.000   35.000
  32.052   71.000  272.000   88.000
  32.632   45.000   14.000   45.000
  30.808   38.000  266.000  278.000
  31.614  156.000   79.000  220.000
  32.732  211.000   28.000  111.000
  32.216  152.000  257.000  174.000
  37.836   77.000  204.000  213.000
  35.800  185.000  139.000  219.000
  33.654  278.000  151.000  147.000
  31.723  196.000  231.000  121.000
  31.684  219.000  255.000  132.000
  33.021  167.000   51.000  118.000
  32.911  256.000   30.000  267.000
  30.867   62.000  287.000  172.000
  33.310  244.000  163.000  223.000
  31.549  139.000  251.000  126.000
  37.261  118.000   77.000   13.000
  32.278   81.000   80.000   27.000
  31.581   61.000   71.000   63.000
  31.952  161.000   17.000   69.000
  30.920   45.000   88.000   71.000
  31.600  238.000   55.000  247.000
  32.171   40.000  129.000  106.000
  32.204  215.000   82.000  104.000
  32.156   76.000  159.000  148.000
  33.100  276.000  247.000  105.000
  32.378  277.000   50.000   28.000
  33.518   88.000  132.000   51.000
  30.138  290.000  192.000  175.000
  32.965  106.000   50.000  169.000
  32.899   18.000  200.000   77.000
  33.072   71.000   30.000   92.000
  32.328  268.000  157.000   44.000
  33.682   92.000  192.000  175.000
  33.951  183.000  195.000  133.000
  30.763   76.000  123.000  209.000
  36.052  200.000  260.000  179.000
  31.797  234.000   16.000  153.000
  32.104  129.000  121.000  159.000
  32.333  185.000   59.000  267.000
  33.636  215.000  124.000   56.000
  34.810   64.000  214.000   64.000
  37.157  274.000  209.000  177.000
  33.089  194.000  229.000   61.000
  32.795  247.000  176.000  119.000
  27.342  185.000  212.000  134.000
  33.060  109.000  178.000  275.000
  31.264   81.000   55.000  188.000
  31.322  218.000  257.000  132.000
  32.090   59.000   16.000  102.000
  33.139  154.000  177.000  126.000
  30.616  155.000   62.000  262.000
  31.279  187.000   73.000  258.000
  32.162   40.000   22.000  225.000
  38.145  223.000  134.000  227.000
  32.953   72.000  132.000   88.000
  32.475  208.000  263.000  185.000
  33.669  127.000  121.000   78.000
  33.838  108.000  229.000  198.000
  35.178  154.000  179.000  255.000
  30.907   15.000   30.000   27.000
  31.780  209.000  255.000  139.000
  32.761  200.000  164.000  230.000
  33.893  208.000   87.000  236.000
  31.865   27.000  179.000   81.000
  31.277  147.000   98.000  140.000
  33.046   73.000   52.000   30.000
  33.031  180.000   59.000   84.000
  32.637   42.000  232.000   82.000
  33.215  147.000  112.000  279.000
  31.059  229.000  276.000   71.000
  35.191  270.000  124.000  243.000
  30.937   40.000  265.000  281.000
  33.695  237.000  272.000  288.000
  33.330  167.000   83.000  275.000
  35.559  185.000   41.000   61.000
  33.355   40.000  141.000  145.000
  35.868  122.000  220.000  207.000
  36.108  275.000   29.000  135.000
  31.168  208.000  233.000   85.000
  33.506  233.000  242.000   45.000
  32.196  266.000   76.000   11.000
  32.811  276.000   95.000   22.000
  34.405  254.000  274.000  214.000
  37.427  280.000   43.000  123.000
  32.053  155.000  267.000  129.000
  31.386  287.000  156.000  251.000
  31.383   27.000  193.000   21.000
  31.460  191.000  257.000  135.000
  30.257   23.000  274.000  230.000
  33.428   52.000  112.000  214.000
  31.484  268.000  158.000   44.000
  31.509  110.000  275.000   24.000
  32.321  205.000   32.000  217.000
  31.359   95.000  211.000   66.000
  32.534  228.000   77.000  188.000
  33.873  263.000  160.000  136.000
  35.815   34.000  207.000  162.000
  33.605  211.000  116.000   32.000
  32.328  272.000   69.000   56.000
  30.417  188.000  233.000  115.000
  34.503  206.000  229.000  147.000
  32.479  276.000  255.000  148.000
  30.740   75.000   54.000   29.000
  31.297  182.000   89.000  276.000
  31.309  276.000  169.000   52.000
  28.195   73.000  114.000  180.000
  31.311   14.000  179.000  275.000
  33.971  257.000  279.000  268.000
  37.512  148.000  134.000  273.000
  33.233   88.000  112.000   67.000
  31.429  196.000  200.000  290.000
  34.018  183.000    9.000  110.000
  37.250  168.000  181.000  171.000
  31.263  181.000  177.000   82.000
  33.699  244.000  234.000  105.000
  37.003  149.000   57.000  118.000
  31.457  215.000  117.000   35.000
  34.041  274.000  229.000  264.000
  32.129  279.000  132.000   14.000
  31.168  277.000  212.000  126.000
  32.914  234.000  114.000  254.000
  31.206   46.000   76.000  160.000
  30.698  274.000  167.000   65.000
  30.759   81.000   14.000  118.000
  28.152  229.000  253.000  123.000
  30.245  227.000   23.000  223.000
  32.124   57.000   22.000  163.000
  31.187  193.000  155.000  211.000
  33.518  230.000   11.000  233.000
  31.456   10.000   22.000   31.000
  32.568  275.000   42.000  110.000
  30.756   27.000  142.000  242.000
  33.724   84.000  242.000  179.000
  31.271  159.000  116.000   24.000
  32.655  136.000   38.000  213.000
  32.654   33.000  219.000  123.000
  31.342  259.000  101.000  278.000
  34.219   44.000   16.000  112.000
  36.606  129.000  165.000   27.000
  30.354   47.000  113.000  169.000
  36.703   40.000  239.000  271.000
  36.523  233.000   40.000   86.000
  33.128   43.000   93.000   78.000
  32.849  254.000  100.000   10.000
  31.062   55.000   45.000  146.000
  37.107   30.000  160.000  262.000
  32.784   30.000   34.000   94.000
  36.282  145.000   51.000   43.000
  31.550   33.000  209.000  164.000
  32.878   69.000   29.000   88.000
  32.741  123.000   22.000  222.000
  38.521  270.000  269.000  180.000
  34.905   40.000   21.000  222.000
  34.272   78.000  206.000  218.000
  32.288   27.000  178.000   85.000
  37.285  123.000   10.000  231.000
  34.364  281.000   31.000   68.000
  34.746  207.000   87.000  236.000
  32.071   44.000   77.000   18.000
  31.589  262.000  183.000  134.000
  30.857   84.000  129.000  160.000
  38.906   41.000  196.000   45.000
  31.218  121.000  218.000   30.000
  36.613  117.000   76.000   34.000
  31.625  160.000    9.000  255.000
  31.526  142.000  202.000   25.000
  30.456  145.000   13.000  186.000
  36.671  151.000  252.000  128.000
  33.058  114.000  142.000   17.000
  31.662   47.000  102.000  168.000
  34.076  109.000  179.000  280.000
  32.526  132.000  252.000   83.000
  31.107  136.000  280.000   65.000
  32.927  266.000  176.000  129.000
  32.845  233.000   44.000  210.000
  31.915  169.000  255.000   68.000
  31.528  273.000  136.000   53.000
  33.460  285.000   60.000  282.000
  31.365  215.000  258.000   91.000
  32.231  126.000  166.000  238.000
  31.687  269.000  217.000  191.000
  33.467   30.000  115.000  269.000
  31.386  271.000  257.000  175.000
  40.320  180.000  255.000  114.000
  33.083  250.000  104.000  145.000
  31.634  287.000  285.000   53.000
  32.581  254.000   46.000  204.000
  33.780  251.000  104.000    9.000
  31.392  269.000  127.000  239.000
  31.171  198.000  278.000  120.000
  34.552  275.000  164.000   68.000
  34.764   10.000   82.000  130.000
  31.452   79.000  168.000   58.000
  31.725  250.000  286.000  242.000
  33.035  246.000  178.000  226.000
  31.375  221.000  183.000  109.000
  32.547  142.000  129.000  221.000
  34.651  221.000  228.000  202.000
  36.370  274.000   21.000  162.000
  31.159  209.000  113.000   34.000
  34.342  168.000  196.000  266.000
  24.080   42.000  191.000   48.000
  30.110   20.000  120.000   51.000
  31.685  217.000   42.000  122.000
  31.358   92.000  137.000  123.000
  31.565  187.000  216.000  231.000
  36.995   86.000  119.000   69.000
  33.366  256.000  217.000  241.000
  31.393   89.000  241.000  174.000
  30.970   24.000   84.000  189.000
  37.272  165.000  218.000   72.000
  35.751   77.000  107.000  169.000
  31.294  237.000  141.000  190.000
  33.337   54.000   99.000   84.000
  36.781  169.000  184.000  164.000
  33.021  167.000  266.000  202.000
  37.935  168.000   42.000  117.000
  31.561   58.000  290.000  180.000
  32.031  189.000   52.000   15.000
  28.849  153.000  224.000  148.000
  30.257  179.000   79.000   72.000
  36.964   82.000  261.000  257.000
  31.807  194.000  227.000   59.000
  36.920  139.000   85.000   26.000
  32.961  200.000   42.000  256.000
  35.966  206.000  233.000  149.000
  30.488  131.000  264.000   95.000
  25.530  207.000  277.000   49.000
  31.115  188.000   78.000  273.000
  35.450  129.000   27.000  179.000
  35.369   98.000  233.000   75.000
  38.074  211.000   29.000  111.000
  35.331   96.000   36.000  238.000
  28.783   54.000   90.000   83.000
  33.346   54.000   87.000  133.000
  31.544  268.000  225.000  179.000
  31.995  135.000  263.000  176.000
  27.391  179.000  282.000  109.000
  31.349   34.000  234.000  187.000
  34.811  264.000   16.000  213.000
  33.437  210.000  222.000  254.000
  31.696  235.000   23.000   21.000
  33.490   11.000  164.000  172.000
  30.987  264.000  209.000  117.000
  31.417  181.000  241.000   90.000
  32.489  141.000   20.000  120.000
  30.791  261.000  213.000  166.000
  34.147   60.000  226.000   59.000
  31.586  109.000  264.000   20.000
  34.165  274.000   61.000   28.000
  36.124   71.000  268.000   23.000
  31.837   29.000  243.000  224.000
  31.532  177.000  269.000  280.000
  31.851  165.000  245.000  228.000
  31.729  174.000   20.000  236.000
  33.598   47.000   88.000   78.000
  33.767  259.000   65.000  258.000
  37.836  200.000  121.000   68.000
  33.790  195.000  223.000   53.000
  32.549  244.000  168.000  174.000
  32.419   80.000  198.000  192.000
  33.101  277.000  234.000  280.000
  31.659  152.000   63.000  124.000
  33.456   29.000  249.000   30.000
  32.133  178.000  282.000  111.000
  31.351  210.000   15.000  247.000
  32.179  284.000   87.000  146.000
  33.583  171.000   57.000   88.000
  31.984  118.000  226.000   22.000
  34.099  136.000  287.000   99.000
  31.457   28.000  249.000   17.000
  33.671  127.000   25.000   44.000
  33.520  172.000   55.000  153.000
  32.675  167.000   36.000  270.000
  31.519   75.000  175.000   15.000
  32.269  288.000  194.000   53.000
  31.241  288.000  283.000  193.000
  33.407   88.000  148.000   24.000
  32.860  171.000   69.000   63.000
  33.228   70.000  178.000   59.000
  28.882   74.000  175.000   19.000
  32.925  251.000  234.000  253.000
  34.000   28.000  124.000   51.000
  30.751  225.000  271.000   28.000
  32.944  250.000   97.000  241.000
  32.681   12.000   60.000  136.000
  35.158  138.000  288.000   65.000
  29.665   69.000   76.000   65.000
  31.582  206.000  221.000  133.000
  34.685  164.000   81.000  219.000
  33.031  231.000  273.000  187.000
  34.277   92.000   82.000  169.000
  31.919  103.000  104.000   40.000
  33.147   87.000  156.000   16.000
  32.289   82.000   19.000  157.000
  32.419  251.000   85.000   74.000
  32.304  176.000   78.000  159.000
  31.840   13.000  169.000  143.000
  37.839  155.000  218.000  149.000
  31.750  180.000   84.000  256.000
  36.827  276.000  195.000  285.000
  31.094   31.000   29.000   93.000
  31.701  269.000  199.000  268.000
  31.589   64.000  191.000   63.000
  33.431   98.000   79.000  284.000
  33.686  162.000  215.000  251.000
  32.844   50.000   53.000  166.000
  33.680   23.000  148.000  236.000
  26.793  275.000  165.000   51.000
  37.749  274.000  132.000   36.000
  31.502  114.000  244.000  219.000
  34.826  233.000  120.000  205.000
  31.017  268.000  175.000  275.000
  32.574   48.000  105.000  173.000
  31.774  242.000  138.000  281.000
  31.490   50.000  100.000  261.000
  32.371  103.000   46.000  253.000
  36.154   21.000  205.000  133.000
  33.752  179.000  253.000  115.000
  31.031  249.000  186.000  254.000
  32.771  129.000   72.000  258.000
  33.616   27.000  109.000  200.000
  31.568  110.000  238.000   17.000
  32.863  128.000  169.000  133.000
  30.376  173.000   64.000   59.000
  33.754   50.000   94.000  153.000
  34.465  113.000  138.000   26.000
  32.582   59.000  214.000  263.000
  30.860  166.000  203.000  287.000
  33.814  234.000   89.000  134.000
  34.205   90.000   24.000   44.000
  33.484  249.000  278.000  237.000
  32.327   96.000   40.000  277.000
  33.741  262.000   97.000  100.000
  30.650  230.000   18.000  230.000
  32.542  212.000  218.000  187.000
  34.213  274.000  208.000  177.000
  34.321  137.000  263.000   54.000
  33.543  163.000  189.000  140.000
  33.353  115.000  211.000  256.000
  32.824  259.000   96.000  210.000
  31.872   62.000  290.000  123.000
  33.689   24.000  190.000   21.000
  33.121  193.000   42.000   22.000
  35.966  278.000  257.000   43.000
  36.095  265.000  167.000  244.000
  32.605   90.000  205.000  170.000
  33.219   73.000  161.000   26.000
  31.484  232.000  194.000  186.000
  32.841   13.000   54.000  239.000
  32.911  223.000  109.000   30.000
  30.890  223.000  171.000  195.000
  35.591   22.000   67.000  177.000
  34.705  267.000  190.000  187.000
  31.664  225.000   51.000  155.000
  32.392  138.000   79.000   97.000
  33.652  102.000   66.000  148.000
  33.242  262.000  194.000   47.000
  32.819  242.000   56.000  253.000
  33.644  112.000  126.000  191.000
  30.977  246.000  199.000  276.000
  38.838  149.000  155.000  112.000
  32.612  182.000   73.000   84.000
  34.549   69.000   87.000   53.000
  38.633  224.000   17.000  227.000
  33.156  226.000   90.000   98.000
  32.744   27.000  235.000  122.000
  33.456  136.000  172.000   29.000
  34.485   61.000   48.000    9.000
  33.657  105.000  157.000  131.000
  33.383  269.000   81.000   15.000
  32.848  168.000   56.000  144.000
  32.440  221.000   44.000  213.000
  35.415  137.000   14.000  245.000
  33.142   53.000  288.000  119.000
  39.775  181.000  132.000   87.000
  35.916  111.000  248.000   21.000
  32.008   44.000  136.000   57.000
  31.125  101.000  285.000  234.000
  30.172   48.000  115.000   85.000
  33.789   55.000  222.000   46.000
  31.873  181.000   89.000  162.000
  33.462  119.000  219.000  168.000
  31.927  251.000    9.000   58.000
  32.748   81.000  143.000   13.000
  32.615   36.000  237.000  240.000
  27.944  108.000  118.000  195.000
  31.037  109.000   66.000   41.000
  31.132  176.000  126.000  147.000
  35.841  207.000   30.000   77.000
  32.463   53.000  216.000  221.000
  32.938  111.000  124.000  175.000
  31.933   65.000   68.000  275.000
  33.916  181.000  178.000  211.000
  37.729  232.000  110.000  143.000
  39.993  126.000  269.000   89.000
  33.711  247.000  141.000  246.000
  33.250   38.000   49.000   91.000
  33.561  268.000   76.000  229.000
  33.511  236.000   47.000  162.000
  30.743  154.000  251.000  129.000
  31.356  261.000  221.000  241.000
  38.467  268.000  227.000   57.000
  33.328  219.000  255.000  132.000
  34.030   90.000  270.000  115.000
  33.065  202.000  132.000  198.000
  33.200  147.000  119.000   78.000
  32.931  234.000   16.000  150.000
  32.925  233.000  288.000   73.000
  31.308  146.000   16.000  270.000
  33.056  256.000  244.000  244.000
  33.482  121.000  171.000  228.000
  31.976  204.000  228.000  135.000
  34.948   79.000  152.000  179.000
  28.138  197.000   87.000  189.000
  34.796  251.000  148.000   69.000
  32.512  157.000  112.000   58.000
  32.884  276.000  241.000  113.000
  33.503  167.000  166.000  274.000
  33.205  272.000  143.000  239.000
  32.955  265.000   49.000  170.000
  32.149  244.000   64.000  126.000
  34.092  215.000  104.000   73.000
  32.135  270.000  226.000   31.000
  42.458  266.000   44.000  149.000
  33.683  141.000   18.000  204.000
  33.469  202.000   85.000   66.000
  34.189   13.000   27.000   24.000
  35.517   25.000  271.000  227.000
  32.126  211.000  126.000   20.000
  33.761   48.000   79.000  260.000
  33.387  164.000  205.000  182.000
  31.892  233.000  227.000  206.000
  33.279  255.000   79.000   79.000
  33.157   51.000  224.000   46.000
  30.701   92.000  271.000  114.000
  31.724  250.000  187.000  206.000
  33.679  137.000  290.000   92.000
  33.700  215.000  130.000   57.000
  33.077  176.000   75.000   49.000
  31.777   77.000   62.000   62.000
  28.167  189.000  237.000   53.000
  34.975  268.000  144.000  109.000
  30.167  225.000   71.000   63.000
  33.935  203.000   22.000  199.000
  28.049  261.000  204.000  168.000
  32.581  173.000  194.000   56.000
  30.038  264.000  117.000  221.000
  34.811   33.000   33.000  160.000
  31.968  203.000   86.000  122.000
  31.953  143.000  125.000  188.000
  26.505  254.000  136.000   31.000
  33.430  263.000   99.000   84.000
  31.462  262.000  281.000  245.000
  32.948  246.000   44.000  210.000
  30.300   35.000  103.000   52.000
  27.976  136.000  212.000  210.000
  35.829  131.000  281.000  163.000
  33.516   44.000   19.000  155.000
  33.298  290.000   54.000   81.000
  31.121  117.000  147.000   15.000
  31.749  271.000  204.000  130.000
  30.712  157.000  154.000  104.000
  30.429  213.000  157.000   41.000
  32.985  237.000   31.000  231.000
  33.094   61.000  241.000  287.000
  29.599   18.000  198.000  137.000
  32.851  205.000  229.000   84.000
  33.722  264.000  275.000  100.000
  30.177  211.000  156.000   42.000
  33.995  170.000  203.000  202.000
  31.822  273.000  142.000  236.000
  31.593  291.000   12.000  273.000
  32.813  275.000  126.000  103.000
  33.094  133.000  288.000  166.000
  33.040  117.000  145.000  196.000
  32.944  122.000   71.000   45.000
  32.178  207.000   57.000   73.000
  37.469  263.000  207.000  192.000
  33.535  276.000  134.000  100.000
  32.900  115.000  147.000   24.000
  34.203   17.000   86.000  106.000
  32.918  135.000  170.000   29.000
  31.980   58.000   36.000  214.000
  33.547   78.000  259.000  259.000
  33.126  200.000  178.000  270.000
  33.101   65.000  288.000  121.000
  35.385   94.000   62.000  289.000
  32.078  274.000  251.000   49.000
  31.845   63.000  180.000  173.000
  34.029  106.000  157.000  282.000
  36.016  275.000  229.000  120.000
  34.389  117.000   76.000   36.000
  34.563  110.000  182.000  236.000
  32.864   30.000  243.000  254.000
  33.878   35.000  163.000  195.000
  31.927  214.000  115.000   34.000
  35.009  202.000  121.000   66.000
  30.017  211.000   96.000  140.000
  38.184  131.000  127.000   77.000
  33.070  140.000   49.000  209.000
  38.597  272.000   84.000  189.000
  31.718  259.000  183.000  199.000
  32.880  240.000  107.000   23.000
  34.141   17.000  231.000  149.000
  32.557    9.000   83.000   16.000
  28.934  246.000  149.000  217.000
  34.471  158.000   38.000  145.000
  34.688  235.000   72.000  185.000
  33.218  209.000  173.000  213.000
  32.345  179.000   81.000   51.000
  31.422  261.000  193.000   45.000
  32.953  244.000  163.000  223.000
  34.498  229.000   17.000  224.000
  34.380   31.000  239.000  254.000
  33.655  143.000  124.000  222.000
  29.905   33.000  123.000   40.000
  33.142  237.000   70.000   66.000
  34.710  266.000   86.000  148.000
  30.853  130.000  286.000  139.000
  30.457  234.000  105.000   28.000
  35.126   91.000  247.000   88.000
  34.221  198.000  250.000  184.000
  33.183  190.000   67.000    9.000
  34.068  117.000   76.000   34.000
  31.554  278.000   89.000  245.000
  39.163  182.000  238.000  274.000
  35.170   86.000  164.000  262.000
  36.417  110.000  182.000  168.000
  34.690   71.000  263.000   16.000
  32.843   28.000  100.000  282.000
  35.108  151.000  121.000   36.000
  32.289  136.000  278.000   65.000
  31.496   80.000  117.000   82.000
  32.538  133.000  282.000  162.000
  37.568  177.000  253.000  279.000
  31.729  195.000   44.000  215.000
  31.846  228.000  224.000   83.000
  32.036   22.000  204.000  263.000
  32.966  182.000  276.000   33.000
  33.042   38.000  223.000  256.000
  32.026  187.000  181.000  122.000
  32.771  177.000   85.000   51.000
  34.729   79.000  197.000  201.000
  32.821  143.000  223.000   60.000
  28.250   15.000   46.000  141.000
  33.225  193.000  113.000   44.000
  36.271  177.000  199.000  132.000
  33.593  120.000  104.000   35.000
